"2015_2" "2015_3" "2016_0" "2016_1" "2016_2" "2016_3" "2017_0" "2017_1" "2017_2" "2017_3" "2018_0" "2018_1" "2018_2" "2018_3" "2019_0" "2019_1" "2019_2" "2019_3" "2020_0" "2020_1" "2020_2" "2020_3" "2021_0"
"we" 0.55318255024158 0.317727921151602 0.420319985537377 0.403505453628397 0.593245227606461 0.784845981352532 0.546014097091234 0.746180267677366 0.732572486119679 0.759782919165953 0.841659426585578 0.809046612117312 0.72793721167096 0.709884328492667 0.821400821400821 0.686310395314788 0.721996354969858 0.566624017547066 0.560902166853634 0.740699175130464 0.654176111095171 0.784363072018791 0.726587728740581
"with" 0.448147888803305 0.603034625859162 0.456476543433065 0.592648635016708 0.622613803230543 0.365868051457571 0.85376749726993 0.615894824114651 0.817396668723011 0.862610682662097 0.646177237185056 0.942355428886642 0.757893475525732 0.699073907246586 0.780700780700781 0.799170326988775 0.78741997289593 0.7653993785414 0.608136033536045 0.549913023960496 0.513585631079104 0.459292814898704 0.394689630426982
"they" 0.245080876689307 0.278822461418752 0.225978486848052 0.252190908517748 0.352422907488987 0.212439513749557 0.496376451901122 0.343479805756248 0.393275755706354 0.279920022850614 0.499565595134666 0.666544083846649 0.724941585285483 0.554934957298836 0.625300625300625 0.66800878477306 0.901911304266555 0.699140924876622 0.708508000236169 0.75753324729252 0.659914498034602 0.455098359968122 0.897021887334051
"have" 0.329108605839927 0.421475813772533 0.483593961854831 0.46024840804489 0.475770925110132 0.407175734686652 0.555941626129256 0.461921118085988 0.53979025293029 0.485575549842902 0.483275412684622 0.652753516594649 0.614103409022827 0.454037692335411 0.66970066970067 0.625305026842362 0.658909294826861 0.667154085176385 0.566806400188935 0.60322091914034 0.56236192006427 0.461390042363995 0.636885540007176
"s" 0.560184861004131 0.408507327194916 0.26213504474374 0.283714772082466 0.223201174743025 0.32456036822849 0.506303980939144 0.426388724387066 0.478099938309685 0.411311053984576 0.553866203301477 0.671140939597315 0.709963453358097 0.648625274764873 0.64010064010064 0.637506100536847 0.616851254731529 0.635167245476147 0.723268583574423 0.474159699231244 0.545146759245976 0.59141814521203 0.439540724793685
"this" 0.252083187451859 0.298275191285177 0.275693753954624 0.397200680915453 0.217327459618209 0.41897792989496 0.397101161520897 0.473765249318962 0.300740283775447 0.348471865181377 0.466985230234579 0.501057276822653 0.437361452279672 0.482865482324961 0.436600436600437 0.536847242557345 0.441609421000981 0.701425699140925 0.708508000236169 0.53307895179844 0.548015952715692 0.524306866322721 0.583064226767133
"was" 0.315103984314824 0.479834003371806 0.43387869474826 0.353067271924847 0.469897209985316 0.206538416145403 0.456666335749032 0.592206561648703 0.362430598396052 0.428449014567266 0.515855777584709 0.629769237841317 0.545204002156851 0.403589059853699 0.518000518000518 0.542947779404588 0.483667461096313 0.527782855053921 0.537285233512428 0.361932551484204 0.395948698820762 0.434126085315213 0.322927879440258
"he" 0.42714095651565 0.486318246660615 0.637259332911507 0.371981590063678 0.223201174743025 0.123923049687242 0.32760845825474 0.177661968494611 0.323874151758174 0.279920022850614 0.244352736750652 0.473476142318654 0.533221496614942 0.61619401102663 0.429200429200429 0.359931673987311 0.467311556614795 0.520928532261013 0.596327566865443 0.488188092699624 0.58244627435228 0.585126462816157 0.206315034086832
"at" 0.574189482529235 1.0245104396317 0.578504926331013 0.472857953470777 0.52863436123348 0.655021834061135 0.704854561699593 0.568518299182755 0.547501542257866 0.428449014567266 0.428974804517811 0.551622690079985 0.497273979989216 0.44322727108933 0.395900395900396 0.448389458272328 0.500023365577831 0.406689819045878 0.304068016768023 0.418046125357724 0.246750638395547 0.310389664863051 0.331898098313599
"has" 0.336110916602479 0.356633380884451 0.257615475006779 0.403505453628397 0.34654919236417 0.300955977811873 0.277970813064628 0.189506099727585 0.215916101172116 0.314195944015995 0.325803649000869 0.413717017559989 0.494278353603739 0.583762747288386 0.447700447700448 0.411786237188873 0.514042712276275 0.443246207274721 0.560902166853634 0.395600695808316 0.516454824548819 0.404764900801141 0.242195909580194
"all" 0.38512709194034 0.427960057061341 0.348006869746 0.403505453628397 0.352422907488987 0.318659270624336 0.426883748634965 0.272415018358403 0.462677359654534 0.43416166809483 0.445264986967854 0.395329594557323 0.410400814810377 0.403589059853699 0.473600473600474 0.448389458272328 0.457965325482499 0.431822335953208 0.407392100135797 0.457325627069188 0.315611281668723 0.377500943752359 0.412630068173663
"not" 0.38512709194034 0.414991570483725 0.474554822380909 0.327848181073072 0.399412628487518 0.230142806562021 0.456666335749032 0.3197915432903 0.385564466378779 0.342759211653813 0.390964378801043 0.468879286567987 0.398418309268468 0.338726532377212 0.573500573500573 0.488042947779405 0.497686807794757 0.356424785231219 0.439865383479955 0.342292800628472 0.387341118411615 0.33136193951596 0.556153570147112
"thank" 0.497164064141167 0.551160679548697 0.899394377655247 1.12855431561692 0.71071953010279 0.89106573822731 0.357391045368808 0.284259149591377 0.339296730413325 0.33704655812625 0.233492615117289 0.197664797278661 0.182733209514109 0.291881373644193 0.177600177600178 0.192166910688141 0.324781531847283 0.297020654359349 0.413296333471099 0.541495987879468 0.272573379622988 0.419445493058177 0.287047003946896
