"2015_2" "2015_3" "2016_0" "2016_1" "2016_2" "2016_3" "2017_0" "2017_1" "2017_2" "2017_3" "2018_0" "2018_1" "2018_2" "2018_3" "2019_0" "2019_1" "2019_2" "2019_3" "2020_0" "2020_1" "2020_2" "2020_3" "2021_0"
"memorialday" 0 0 0 0 0 0 0 1.0989010989011 0 0 0 3.27868852459016 0 0 0 1.85185185185185 0 0 0 0 0 0 0
"ms" 0 0 0 0 0 0 0 0 2.02702702702703 0.675675675675676 0 0 0 0 0 0 0 0 0 0 0 0 0
"nationaldayofprayer" 0 0 0 0 0 0 0 1.0989010989011 0 0 0 3.27868852459016 0 0 0 1.85185185185185 0 0 0 0 0 0 0
"nevadacaucus" 0 0 0.78125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"newyorkvalues" 0 0 0 0.884955752212389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"potusabroad" 0 0 0 0 0 0 0 4.3956043956044 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"salutetoamerica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0.8 0 0
"september" 0 0 0 0 0 0 0 0 0 0 0 0 0 2.67857142857143 0 0 0 0 0 0 0 0.434782608695652 0
"tbt" 0 0 0.390625 0 0.32258064516129 0 0 0 0 0 0 0 0 0 2.63157894736842 0 0 0 0 0 0 0 0
"usmca" 0 0 0 0 0 0 0 0 0 0 0 0 0 1.78571428571429 0 0 0 0 1.86915887850467 0 0 0 0
"abc" 0 1.70454545454545 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"az" 0 0 0 0 0 0 0 0 0 0 0 1.63934426229508 0 0 0 0 0 0 0 0 0.8 0.434782608695652 0
"azprimary" 0 0 0 0.663716814159292 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"biarritz" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"buildthewall" 0 0 0 0 0.32258064516129 0 0 1.0989010989011 0 0 0 1.63934426229508 0 0 0 0 0 0 0 0 0 0 0
"co" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0.869565217391304 0
"covid" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.9126213592233 0 0 0
"electionnight" 0 0 0 0 0 0.411522633744856 0 0 0 0 0 0 0 0 0 0 0 1.28205128205128 0 0 0 0 0
"fema" 0 0 0 0 0 0 0 0 0 2.02702702702703 0 0 0 0 0 0 0 0 0 0 0 0 0
"geauxvote" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.84615384615385 0 0 0 0 0
"godblesstheusa" 0 0 0 0 0 0 2.38095238095238 1.0989010989011 0.675675675675676 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"harvey" 0 0 0 0 0 0 0 0 2.02702702702703 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"helsinki" 0 0 0 0 0 0 0 0 0 0 0 0 5.26315789473684 0 0 0 0 0 0 0 0 0 0
"hurricaneflorence" 0 0 0 0 0 0 0 0 0 0 0 0 0 2.67857142857143 0 0 0 0 0 0 0 0 0
"hurricanelane" 0 0 0 0 0 0 0 0 0 0 0 0 5.26315789473684 0 0 0 0 0 0 0 0 0 0
"inauguration" 0 0 0 0 0 0 7.14285714285714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"jfkfiles" 0 0 0 0 0 0 0 0 0 2.02702702702703 0 0 0 0 0 0 0 0 0 0 0 0 0
"k" 0 0 0 0 0 0 0 0 0 2.02702702702703 0 0 0 0 0 0 0 0 0 0 0 0 0
"keepamericagreat" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1.86915887850467 0 0 0 0
"ky" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.4 0 0
"laborday" 0 0 0 0 0 0.411522633744856 0 0 0 0.675675675675676 0 0 0 0 0 0 0 0 0 0 0 0 0
"lawandorder" 0 0 0 0 0.645161290322581 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0
"madeinamerica" 0 0 0 0 0 0 0 0 1.35135135135135 0 0 0 1.75438596491228 0 0 0 0 0 0 0 0 0 0
"marchforlife" 0 0 0 0 0 0 4.76190476190476 0 0 0 0 0 0 0 0 0 0 0 0.934579439252336 0 0 0 0
"medalofhonorday" 0 0 0 0 0 0 0 1.0989010989011 0 0 0 1.63934426229508 0 0 0 0 0 0 0 0.970873786407767 0 0 0
"meetthetrumps" 0 1.13636363636364 0 0.221238938053097 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"mi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.30434782608696 0
"msm" 0 0 0.5859375 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"nato" 0 0 0 0 0 0 0 2.1978021978022 0 0 0 0 1.75438596491228 0 0 0 0 0 0 0 0 0 0
"ne" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.9126213592233 0 0 0
"nhpolitics" 0 0 0.5859375 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"nv" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0.869565217391304 0
"ontherecord" 0 1.13636363636364 0 0.221238938053097 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"opioidepidemic" 0 0 0 0 0 0 0 0 0 1.35135135135135 0 1.63934426229508 0 0 0 0 0 0 0 0 0 0 0
"paytoplay" 0 0 0 0 0 0.617283950617284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"peaceofficersmemorialday" 0 0 0 0 0 0 0 1.0989010989011 0 0 0 1.63934426229508 0 0 0 1.85185185185185 0 0 0 0 0 0 0
"puertorico" 0 0 0 0 0 0 0 0 0 2.02702702702703 0 0 0 0 0 0 0 0 0 0 0 0 0
"repealandreplace" 0 0 0 0 0 0 2.38095238095238 2.1978021978022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"repealobamacare" 0 0.568181818181818 0 0 0 0.205761316872428 2.38095238095238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"righttotry" 0 0 0 0 0 0 0 0 0 0 0 4.91803278688525 0 0 0 0 0 0 0 0 0 0 0
"socialmediasummit" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"standforouranthem" 0 0 0 0 0 0 0 0 0 2.02702702702703 0 0 0 0 0 0 0 0 0 0 0 0 0
"stopthebias" 0 0 0 0 0 0 0 0 0 0 0 0 3.50877192982456 0 0 1.85185185185185 0 0 0 0 0 0 0
"stopthesteal" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27.2727272727273
"taxcutsandjobsact" 0 0 0 0 0 0 0 0 0 0.675675675675676 1.92307692307692 0 1.75438596491228 0 0 0 0 0 0 0 0 0 0
"teamscalise" 0 0 0 0 0 0 0 0 1.35135135135135 0.675675675675676 0 0 0 0 0 0 0 0 0 0 0 0 0
"teamtrump" 0 0 0.5859375 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"throwbackthursday" 0 0 0 0 0.645161290322581 0 0 0 0 0 0 0 0 0 0 0 0 0 0.934579439252336 0 0 0 0
"trumptoday" 0 1.70454545454545 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ussgeraldrford" 0 0 0 0 0 0 0 0 2.02702702702703 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"vfwconvention" 0 0 0 0 0 0 0 0 0 0 0 0 5.26315789473684 0 0 0 0 0 0 0 0 0 0
"wi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.30434782608696 0
"al" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.869565217391304 0
"alconv" 0 0 0 0 0 0 0 0 1.35135135135135 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"americandreamplan" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.869565217391304 0
"americanpatientsfirst" 0 0 0 0 0 0 0 0 0 0 0 0 1.75438596491228 0.892857142857143 0 0 0 0 0 0 0 0 0
"arizonaprimary" 0 0 0 0.442477876106195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"armedforcesday" 0 0 0 0.221238938053097 0 0 0 0 0 0 0 1.63934426229508 0 0 0 0 0 0 0 0 0 0 0
"aseansummit" 0 0 0 0 0 0 0 0 0 1.35135135135135 0 0 0 0 0 0 0 0 0 0 0 0 0
"bastilleday" 0 0 0 0 0 0 0 0 1.35135135135135 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bebest" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.85185185185185 0 0 0 0.970873786407767 0 0 0
"benghazi" 0 0 0.1953125 0 0 0.205761316872428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"boycottmacys" 0 1.13636363636364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"buyamericanhireamerican" 0 0 0 0 0 0 0 2.1978021978022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"cajunnavy" 0 0 0 0 0 0 0 0 0 0.675675675675676 0 0 0 0.892857142857143 0 0 0 0 0 0 0 0 0
"cincodemayo" 0 0 0 0.221238938053097 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.970873786407767 0 0 0
"columbusday" 0 0 0 0 0 0 0 0 0 0.675675675675676 0 0 0 0.892857142857143 0 0 0 0 0 0 0 0 0
"confirmgorsuch" 0 0 0 0 0 0 0 2.1978021978022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"congratspeggy" 0 0 0 0 0 0 0 2.1978021978022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"crippledamerica" 0 1.13636363636364 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"days" 0 0 0 0 0 0.205761316872428 0 0 0 0 0 0 1.75438596491228 0 0 0 0 0 0 0 0 0 0
"donothingdemocrats" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.28205128205128 0 0.970873786407767 0 0 0
"firststepact" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.26315789473684 0 0 0 0 0 0 0 0
"fns" 0 0.568181818181818 0 0.221238938053097 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"followthemoney" 0 0 0 0 0 0.411522633744856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"fox" 0 0 0.390625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"foxnews" 0 0 0.390625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"fraudnewscnn" 0 0 0 0 0 0 0 0 1.35135135135135 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"freerocky" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"guard" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.63157894736842 0 0 0 0.934579439252336 0 0 0 0
"hanukkah" 0 0 0 0 0 0 2.38095238095238 0 0 0 1.92307692307692 0 0 0 0 0 0 0 0 0 0 0 0
"happyindependenceday" 0 0 0 0 0 0 0 0 1.35135135135135 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"houstonstrong" 0 0 0 0 0 0 0 0 0 0.675675675675676 0 1.63934426229508 0 0 0 0 0 0 0 0 0 0 0
"hr" 0 0 0 0 0 0 0 0 0.675675675675676 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0
"iapolitics" 0 0 0.390625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.6 0 0
"imwithyoutickets" 0 0 0 0 0.645161290322581 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"imwithyouvideo" 0 0 0 0 0.32258064516129 0.205761316872428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"inaugurationday" 0 0 0 0 0 0 4.76190476190476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"irandeal" 2.89855072463768 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ivoted" 0 0 0.1953125 0 0 0.205761316872428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"july" 0 0 0 0 0 0 0 0 0.675675675675676 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"kimmel" 0 0 0.390625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ks" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.869565217391304 0
